speed	weather	roadType	trafficDensity	timeOfDay	riskLevel
55	Fog	Rural	High	Morning	Medium
55	Fog	City	Low	Night	Medium
85	Rainy	Highway	Medium	Night	High
55	Clear	City	Medium	Night	Medium
65	Rainy	Rural	Low	Day	Medium
100	Clear	Highway	Medium	Night	Medium
85	Rainy	Rural	High	Evening	High
25	Rainy	Highway	Medium	Evening	Low
75	Fog	Highway	Medium	Night	High
95	Clear	Highway	Low	Evening	Medium
60	Fog	City	Medium	Night	Medium
30	Fog	City	High	Night	Medium
95	Fog	City	Medium	Night	High
65	Fog	City	High	Evening	Medium
25	Fog	City	Low	Day	Low
30	Rainy	City	High	Morning	Medium
50	Clear	Rural	Low	Night	Low
30	Rainy	Highway	Medium	Morning	Low
30	Rainy	City	Medium	Morning	Low
45	Rainy	Highway	Medium	Morning	Low
80	Rainy	City	High	Night	High
70	Rainy	Rural	High	Evening	Medium
90	Rainy	Rural	Low	Night	High
75	Clear	Highway	Medium	Evening	Medium
95	Fog	Rural	High	Morning	High
30	Clear	Highway	High	Morning	Low
55	Clear	Highway	High	Evening	Medium
65	Clear	Highway	Low	Day	Low
30	Fog	Rural	Medium	Night	Medium
80	Clear	Highway	High	Night	High
20	Clear	Rural	High	Night	Medium
85	Rainy	Rural	Low	Evening	Medium
65	Rainy	City	Medium	Night	Medium
50	Clear	Highway	Medium	Night	Low
50	Rainy	City	High	Morning	Medium
50	Fog	Rural	High	Evening	Medium
30	Clear	Highway	Low	Morning	Low
95	Clear	City	Low	Evening	Medium
100	Fog	Highway	Low	Evening	Medium
40	Fog	Rural	Medium	Evening	Low
40	Fog	Rural	High	Night	Medium
90	Clear	City	High	Day	Medium
75	Fog	City	Medium	Night	High
40	Rainy	City	Low	Night	Medium
50	Fog	Highway	Low	Night	Medium
90	Rainy	City	Low	Day	Medium
65	Fog	City	Medium	Night	Medium
40	Clear	City	High	Night	Medium
100	Rainy	City	High	Evening	High
30	Fog	Highway	High	Morning	Medium
35	Fog	City	Medium	Night	Medium
50	Fog	City	Medium	Evening	Low
95	Clear	Rural	Low	Night	Medium
45	Rainy	Highway	High	Day	Medium
75	Fog	Rural	Medium	Night	High
70	Rainy	Rural	Low	Day	Medium
95	Clear	City	Medium	Day	Medium
35	Rainy	City	Medium	Evening	Low
75	Clear	Highway	Low	Night	Medium
65	Fog	City	Medium	Morning	Medium
85	Fog	City	High	Day	High
30	Fog	Highway	Medium	Morning	Low
25	Rainy	City	Low	Night	Medium
80	Clear	Highway	Low	Morning	Medium
45	Clear	Highway	High	Morning	Low
70	Clear	Rural	Medium	Morning	Low
60	Rainy	Highway	Low	Night	Medium
55	Clear	Highway	Low	Evening	Low
20	Clear	Rural	Medium	Evening	Low
85	Clear	Rural	Low	Night	Medium
70	Fog	Rural	High	Day	Medium
45	Fog	Highway	Medium	Evening	Low
50	Fog	City	High	Night	Medium
25	Clear	Highway	High	Day	Low
20	Rainy	Rural	High	Night	Medium
80	Clear	Highway	Medium	Night	Medium
20	Clear	Rural	Medium	Night	Low
80	Rainy	Rural	Low	Night	High
20	Fog	City	High	Morning	Medium
100	Rainy	Highway	High	Night	High
75	Clear	Rural	High	Evening	Medium
85	Rainy	Highway	Medium	Day	Medium
75	Clear	Rural	Low	Night	Medium
30	Rainy	City	Medium	Day	Low
20	Clear	Rural	Low	Day	Low
55	Rainy	Rural	Medium	Evening	Medium
85	Clear	City	Low	Evening	Medium
60	Rainy	Highway	High	Day	Medium
100	Rainy	Rural	Medium	Morning	Medium
95	Clear	Highway	High	Evening	Medium
85	Rainy	Highway	Low	Morning	Medium
65	Fog	Highway	Low	Morning	Medium
35	Fog	Rural	High	Morning	Medium
95	Rainy	Rural	Low	Night	High
25	Rainy	Rural	Medium	Day	Low
100	Clear	Highway	Medium	Day	Medium
60	Fog	Highway	High	Night	High
100	Clear	Rural	High	Evening	Medium
100	Clear	City	Low	Evening	Medium
45	Rainy	Highway	Low	Morning	Low
